Title,Description,Link,Value / Priority,Density,Button,Status,Notes
"The Man Who Reads 1,000 Articles a Day",How Robert Cottrell finds the absolute best writing on the web,Link →,,,model,Reviewed,
The Notion Template Behind One of Our Most Popular Posts,,Link →,,,model,,
High-Output Project Management in Notion,"A recording, a template, and a course discount",Link →,,,model,,
Inside the Mind of a Productivity Master,Tiago Forte reveals his contrarian takes on everything from how he takes notes to what he does when he falls off his system,Link →,,,model,,
Who Shaan Puri is Becoming,The co-host of the My First Million Podcast reveals his tools for growing into a better version of himself,Link →,,,model,,
Action Item: How to create a network from scratch,Ali Hamed of CoVenture shares his tools for getting to the people who can make a difference,Link →,,,model,,
Nat Eliason is Living in The Matrix,Nat reveals the Roam setup that he uses to run his life,Link →,,,model,,
One VC Wrote An OS for Her Life,"Maria Salamanca shares how she uses Airtable, Notion, and Bear to create a complete system to run her life",Link →,,,model,,
Productivity for Parents,Square’s Restaurant Product Lead on integrating career and family,Link →,,,model,,
Action Item: How to stop worrying and love Twitter,Visakan Veerasamy on building an audience by making internet friends,Link →,,,model,,
"Action Item: Playing Offense, The 10-10-10 Test, and Blending",Actionable takeaways from Superorganizers interviews,Link →,,,model,,
How to Go Pro as a Creator,John Gannon from GoingVC shares how he made $1mm in revenue as a creator,Link →,,,model,,
Action Item: How to Become a Machine,Nate Berkopec tunes himself like a server—in a surprisingly human way,Link →,,,model,,
Scott Belsky’s Elephant List,Adobe’s CPO on relentlessly taking action even on the problems no one is talking about,Link →,,,model,,
Dan Shipper: The Sultan of Superorganizers,We turn the tables to reveal the systems and processes he uses to run his life,Link →,,,model,,
How Productivity Star Thomas Frank Reaches Millions on YouTube,"We pull back the curtain on how he gets things and done, and do a deep dive on his system for making videos",Link →,,,model,,
"If your system was a house, would you want to live in it?",,Link →,,,model,,
Organize Your Week with the Weekly Priority Sheet,,Link →,,,model,,
How James Clear is Writing His Next Book,"Asana, Google Docs, and Meeting Readers Where they Are",Link →,,,model,,
Cognitive Behavioral Productivity,How you can use psychology to get unstuck,Link →,,,model,,
Airtable - superorganizers.xyz,,Link →,,,model,,
When Content Becomes Your King,Matt D’Avella on creator burnout and building an audience for the long run,Link →,,,model,,
Organizing Superorganizers,,Link →,,,model,,
