Name,Group Order,Data Points,Details
Photos,0,"Twitter Image URL,LinkedIn Image URL,Twitter Image (attachment, square),LinkedIn Image (attachment, square)",
Basic Info,1,"Name (First & Last),Email,Phone Number,Twitter Location,LinkedIn Location,Preferred Contact Method",
URLs,2,"Personal URL,Company URL,Twitter URL,LinkedIn URL,Crunchbase URL,Podcast URL,Newsletter URL,Twitter Profile Link,LinkedIn Personal Website URL,Company LinkedIn URL,Company Crunchbase URL",
Bio,3,"Twitter Bio,LinkedIn Bio",
Deal,4,"Fundraising Pitch Deck/Memo,Fundraising Details",
Founder,5,"Founder Previous Company,Founder Previous Company Total Raised,Founder Previous Company Exit Status,Founder Previous Company Exit Valuation,Founder Previous Company Exit Date,Founder Previous Company 2 News Stories,Fundraising Pitch Deck/Memo,Fundraising Details",
Funding,6,"Startup Total Funding Raised,Startup Last Funding Round Date,Startup Last Funding Round Amount,Startup Last Funding Round Lead Investor,Startup Total Investor List,Startup Last Funding Round Investor List",
Common Ground,7,"Shared LinkedIn Connections (10),Similar Investments,Shared School,Shared High School Geographic Area,Shared Employment History,LinkedIn Connections at Same Company,Shared Investments,Common Ground Notes,List of Shared LinkedIn Connections Invested",
Investor,8,"Fund AUM,Last 5 Investment Rounds Participated",
Company,9,"Company Name,Company URL,5 Recent Articles about Company,Startup Total Funding Raised,Startup Last Funding Round Date,Startup Last Funding Round Amount,Startup Last Funding Round Lead Investor,Company Blurb,Similar Customers,Tech Stack,Company Twitter URL,Company Twitter Bio,Company Last 5 Tweets,Company LinkedIn URL,Company Crunchbase URL,Startup Total Investor List,Startup Last Funding Round Investor List",
Twitter,10,"Twitter Active Y/N?,Twitter Name,Twitter Verified Y/N?,Twitter Bio,Twitter Profile Link,Twitter Follower Count",
Details,11,"Twitter Active Y/N?,Twitter Name,Twitter Verified Y/N?,Twitter Follower Count",
LinkedIn,12,LinkedIn Bio,
Work,13,"Current Company Role & Years ,Previous Company Role & Years,Other Companies Worked at, Roles, and Years",
Education,14,"Graduate Degree School Name,Graduate Degree Graduation Year,Graduate Degree Area of Study,Undergraduate Degree School Name,Undergraduate Degree Graduation Year,Undergraduate Degree Area of Study,High School Name,High School Location,High School Graduation Year",
History,15,"Graduate Degree School Name,Graduate Degree Graduation Year,Graduate Degree Area of Study,Undergraduate Degree School Name,Undergraduate Degree Graduation Year,Undergraduate Degree Area of Study,High School Name,High School Location,Current Company Role & Years ,Previous Company Role & Years,Other Companies Worked at, Roles, and Years,Founder Previous Company,Founder Previous Company Total Raised,Founder Previous Company Exit Status,Founder Previous Company Exit Valuation,Founder Previous Company Exit Date,Founder Previous Company 2 News Stories,High School Graduation Year",
Personal,16,"Most Recent Newsletter Article URL,Most Recent Podcast Episode URL",
News & Activity,17,"5 Recent Articles about Company,Most Recent Newsletter Article URL,Most Recent Podcast Episode URL,5 Recent Tweets,LinkedIn 3 Recent Posts,Company Last 5 Tweets",
Other,99,Notes,
